ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
GOP by 0 - 9,11/4/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,42627
GOP by 10 - 29,11/4/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.07,54971
GOP by 30 - 59,11/4/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.11,53809
Dems by 60 - 99,11/4/2020 12:00:00 AM,$0.08,$0.10,$0.08,$0.09,35682
GOP by 60 - 99,11/4/2020 12:00:00 AM,$0.15,$0.16,$0.13,$0.14,38247
GOP by 280+,11/4/2020 12:00:00 AM,$0.04,$0.05,$0.02,$0.02,87172
Dems by 1 - 9,11/4/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,131479
Dems by 10 - 29,11/4/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,50554
Dems by 30 - 59,11/4/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,70371
Dems by 280+,11/4/2020 12:00:00 AM,$0.09,$0.09,$0.07,$0.09,24271
GOP by 100 - 149,11/4/2020 12:00:00 AM,$0.10,$0.12,$0.08,$0.11,46277
Dems by 100 - 149,11/4/2020 12:00:00 AM,$0.16,$0.19,$0.15,$0.17,33505
GOP by 150 - 209,11/4/2020 12:00:00 AM,$0.04,$0.05,$0.01,$0.03,66144
Dems by 150 - 209,11/4/2020 12:00:00 AM,$0.17,$0.23,$0.17,$0.23,27308
GOP by 210 - 279,11/4/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,86999
Dems by 210 - 279,11/4/2020 12:00:00 AM,$0.14,$0.16,$0.12,$0.16,20327
GOP by 0 - 9,11/4/2020 1:00:00 AM,$0.03,$0.03,$0.03,$0.03,1380
GOP by 10 - 29,11/4/2020 1:00:00 AM,$0.07,$0.07,$0.07,$0.07,683
GOP by 30 - 59,11/4/2020 1:00:00 AM,$0.11,$0.11,$0.09,$0.09,382
Dems by 60 - 99,11/4/2020 1:00:00 AM,$0.09,$0.10,$0.09,$0.10,200
GOP by 60 - 99,11/4/2020 1:00:00 AM,$0.14,$0.15,$0.14,$0.14,80
GOP by 280+,11/4/2020 1:00:00 AM,$0.02,$0.03,$0.02,$0.02,3872
Dems by 1 - 9,11/4/2020 1:00:00 AM,$0.01,$0.02,$0.01,$0.02,145
Dems by 10 - 29,11/4/2020 1:00:00 AM,$0.04,$0.05,$0.04,$0.05,385
Dems by 30 - 59,11/4/2020 1:00:00 AM,$0.05,$0.07,$0.05,$0.07,51
Dems by 280+,11/4/2020 1:00:00 AM,$0.09,$0.09,$0.09,$0.09,522
GOP by 100 - 149,11/4/2020 1:00:00 AM,$0.11,$0.12,$0.11,$0.12,2361
Dems by 100 - 149,11/4/2020 1:00:00 AM,$0.17,$0.18,$0.17,$0.18,166
GOP by 150 - 209,11/4/2020 1:00:00 AM,$0.03,$0.03,$0.01,$0.01,16231
Dems by 150 - 209,11/4/2020 1:00:00 AM,$0.23,$0.23,$0.20,$0.20,2043
GOP by 210 - 279,11/4/2020 1:00:00 AM,$0.01,$0.02,$0.01,$0.01,163
Dems by 210 - 279,11/4/2020 1:00:00 AM,$0.16,$0.16,$0.15,$0.15,293
