ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
GOP by 0 - 9,11/4/2020 8:00:00 PM,$0.05,$0.06,$0.03,$0.05,79171
GOP by 10 - 29,11/4/2020 8:00:00 PM,$0.13,$0.13,$0.06,$0.11,51168
GOP by 30 - 59,11/4/2020 8:00:00 PM,$0.09,$0.10,$0.03,$0.04,64709
Dems by 60 - 99,11/4/2020 8:00:00 PM,$0.21,$0.24,$0.13,$0.15,48832
GOP by 60 - 99,11/4/2020 8:00:00 PM,$0.02,$0.03,$0.01,$0.03,48305
GOP by 280+,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,16279
Dems by 1 - 9,11/4/2020 8:00:00 PM,$0.16,$0.19,$0.05,$0.17,93732
Dems by 10 - 29,11/4/2020 8:00:00 PM,$0.06,$0.14,$0.05,$0.09,92215
Dems by 30 - 59,11/4/2020 8:00:00 PM,$0.31,$0.39,$0.28,$0.36,35526
Dems by 280+,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,2034
GOP by 100 - 149,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,12505
Dems by 100 - 149,11/4/2020 8:00:00 PM,$0.01,$0.04,$0.01,$0.04,73664
GOP by 150 - 209,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,69
Dems by 150 - 209,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,823
GOP by 210 - 279,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,1140
Dems by 210 - 279,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,849
GOP by 0 - 9,11/4/2020 9:00:00 PM,$0.05,$0.08,$0.04,$0.05,69771
GOP by 10 - 29,11/4/2020 9:00:00 PM,$0.11,$0.12,$0.07,$0.08,59365
GOP by 30 - 59,11/4/2020 9:00:00 PM,$0.04,$0.05,$0.03,$0.03,39701
Dems by 60 - 99,11/4/2020 9:00:00 PM,$0.15,$0.25,$0.14,$0.24,34529
GOP by 60 - 99,11/4/2020 9:00:00 PM,$0.03,$0.03,$0.01,$0.02,22712
GOP by 280+,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,25
Dems by 1 - 9,11/4/2020 9:00:00 PM,$0.17,$0.19,$0.15,$0.16,41589
Dems by 10 - 29,11/4/2020 9:00:00 PM,$0.09,$0.11,$0.05,$0.05,71663
Dems by 30 - 59,11/4/2020 9:00:00 PM,$0.36,$0.38,$0.30,$0.33,34232
Dems by 280+,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,856
GOP by 100 - 149,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,3050
Dems by 100 - 149,11/4/2020 9:00:00 PM,$0.04,$0.04,$0.02,$0.03,35620
GOP by 150 - 209,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 150 - 209,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,1180
GOP by 210 - 279,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 210 - 279,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,100
GOP by 0 - 9,11/4/2020 10:00:00 PM,$0.05,$0.06,$0.05,$0.05,8800
GOP by 10 - 29,11/4/2020 10:00:00 PM,$0.08,$0.09,$0.08,$0.08,6347
GOP by 30 - 59,11/4/2020 10:00:00 PM,$0.03,$0.03,$0.03,$0.03,5440
Dems by 60 - 99,11/4/2020 10:00:00 PM,$0.24,$0.28,$0.24,$0.28,2559
GOP by 60 - 99,11/4/2020 10:00:00 PM,$0.02,$0.02,$0.01,$0.01,4380
GOP by 280+,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 1 - 9,11/4/2020 10:00:00 PM,$0.16,$0.18,$0.14,$0.14,6621
Dems by 10 - 29,11/4/2020 10:00:00 PM,$0.05,$0.07,$0.05,$0.06,6811
