ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Harris,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,3055
Warren,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,801
Booker,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Kasich,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Biden,11/4/2020 8:00:00 PM,$0.81,$0.84,$0.78,$0.84,28947
Sanders,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,804
Pence,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,3825
Trump,11/4/2020 8:00:00 PM,$0.25,$0.28,$0.20,$0.20,36674
Gillibrand,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,856
Cuban,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,700
Haley,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,1658
Ryan,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Brown,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Yang,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,800
Buttigieg,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,800
Gabbard,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,800
Clinton,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,3400
Steyer,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
West,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,11/4/2020 8:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Harris,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,2438
Warren,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,600
Booker,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Kasich,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Biden,11/4/2020 9:00:00 PM,$0.84,$0.85,$0.81,$0.84,25634
Sanders,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,11
Pence,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,859
Trump,11/4/2020 9:00:00 PM,$0.20,$0.26,$0.18,$0.19,28801
Gillibrand,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Cuban,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Haley,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Ryan,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Brown,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,600
Yang,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,600
Buttigieg,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,1726
Steyer,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
West,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,124
Hawkins,11/4/2020 9:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Harris,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Warren,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Booker,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Kasich,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Biden,11/4/2020 10:00:00 PM,$0.84,$0.85,$0.84,$0.85,2247
Sanders,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Pence,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Trump,11/4/2020 10:00:00 PM,$0.19,$0.19,$0.17,$0.18,4888
Gillibrand,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
