ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Harris,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5382
Warren,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Booker,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,10/28/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.64,63733
Sanders,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Pence,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1872
Trump,10/28/2020 12:00:00 AM,$0.42,$0.43,$0.40,$0.40,99608
Gillibrand,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Ryan,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20
Brown,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Clinton,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1817
Steyer,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1001
West,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Hawkins,10/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,34716
Warren,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Booker,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,10/29/2020 12:00:00 AM,$0.64,$0.68,$0.63,$0.68,85874
Sanders,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,218
Pence,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9349
Trump,10/29/2020 12:00:00 AM,$0.40,$0.41,$0.37,$0.39,108554
Gillibrand,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Klobuchar,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1021
Yang,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,34
Buttigieg,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6
Gabbard,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2718
Steyer,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
West,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,106
Hawkins,10/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6721
Warren,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,126
Booker,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Kasich,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Biden,10/30/2020 12:00:00 AM,$0.68,$0.68,$0.66,$0.67,73748
Sanders,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1172
Pence,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25524
Trump,10/30/2020 12:00:00 AM,$0.39,$0.41,$0.38,$0.41,117853
Gillibrand,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Cuomo,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,420
Cuban,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Haley,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Ryan,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
O'Rourke,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Brown,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Yang,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Buttigieg,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Gabbard,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Clinton,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,501
Steyer,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
West,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,30
Hawkins,10/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2571
Warren,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
