ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Harris,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,1222
Warren,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,10
Booker,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Kasich,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,6
Biden,11/3/2020 6:00:00 PM,$0.64,$0.66,$0.64,$0.65,16439
Sanders,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,200
Pence,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,150
Trump,11/3/2020 6:00:00 PM,$0.42,$0.43,$0.40,$0.41,22328
Gillibrand,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,510
Cuban,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Haley,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Ryan,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Brown,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Yang,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,150
Buttigieg,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,160
Steyer,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
West,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,11/3/2020 6:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Harris,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,87
Warren,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,1
Booker,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Kasich,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Biden,11/3/2020 7:00:00 PM,$0.65,$0.67,$0.64,$0.65,14174
Sanders,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Pence,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,6
Trump,11/3/2020 7:00:00 PM,$0.41,$0.43,$0.40,$0.42,19134
Gillibrand,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Cuban,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Haley,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Ryan,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,11/3/2020 7:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
